t,ax,ay,az,gx,gy,gz,mx,my,mz,label,gyro svd,gyro svd reversed,gyro svd reversed abs,gyro svd abs
915044.0,0.75,1.74,9.53,-0.05,0.03,-0.03,-37.63,26.23,-32.83,N,0.044403968116309936,1.7952181696631933,1.7952181696631933,0.044403968116309936
915057.0,0.73,1.79,9.55,0.01,0.03,-0.01,-38.23,23.83,-32.53,N,0.030447456334642194,1.75582970157849,1.75582970157849,0.030447456334642194
915070.0,0.74,1.88,9.52,-0.0,0.04,-0.05,-38.68,25.33,-30.58,N,0.04785302418870157,1.804692128052053,1.804692128052053,0.04785302418870157
915083.0,0.76,1.85,9.53,-0.04,-0.04,-0.0,-39.28,24.43,-30.43,N,-0.029861144184836496,1.8080107483334227,1.8080107483334227,0.029861144184836496
915096.0,0.77,1.7,9.57,0.02,0.01,0.03,-38.68,25.63,-30.28,N,0.0033216937474045316,1.7987005612153744,1.7987005612153744,0.0033216937474045316
915109.0,0.83,1.74,9.6,0.0,0.07,-0.02,-39.13,25.33,-31.48,N,0.07262873653228842,1.8504862355929028,1.8504862355929028,0.07262873653228842
915122.0,0.82,1.77,9.54,0.04,0.03,0.0,-38.83,25.93,-31.93,N,0.023469200443808323,1.7204166789602324,1.7204166789602324,0.023469200443808323
915135.0,0.79,1.85,9.45,-0.01,-0.01,-0.03,-40.32,24.88,-31.48,N,-0.0018323200682048176,1.6344439398054986,1.6344439398054986,0.0018323200682048176
915148.0,0.72,1.87,9.37,-0.01,-0.01,0.07,-40.32,24.88,-31.48,N,-0.016448559588031535,1.5359944318375165,1.5359944318375165,0.016448559588031535
915161.0,0.72,1.86,9.37,0.02,-0.03,-0.01,-38.53,24.73,-31.63,N,-0.029712589377377932,1.35149204096875,1.35149204096875,0.029712589377377932
915174.0,0.7,1.83,9.36,-0.03,-0.02,0.0,-38.68,25.33,-32.23,N,-0.012259632031430321,1.1688724331261116,1.1688724331261116,0.012259632031430321
